AdID,職位名稱,公司名稱,發布日期,職位詳情連結
HS26051341,合約社工,聖類斯中學小學部 ST. LOUIS SCHOOL (PRIMARY SECTION) (),2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051341/%E5%90%88%E7%B4%84%E7%A4%BE%E5%B7%A5
HS26051331,Special Education Needs Coordinator (SEN),啟思中學 CREATIVE SECONDARY SCHOOL,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051331/Special-Education-Needs-Coordinator-SEN-
HS26051321,特殊教育需要統籌主任 SENCO (2026-27 年度教師),大埔循道衛理小學 TAI PO METHODIST SCHOOL,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051321/%E7%89%B9%E6%AE%8A%E6%95%99%E8%82%B2%E9%9C%80%E8%A6%81%E7%B5%B1%E7%B1%8C%E4%B8%BB%E4%BB%BB-SENCO-2026-27-%E5%B9%B4%E5%BA%A6%E6%95%99%E5%B8%AB-
HS26051311,助理小學學位教師 APSM,香海正覺蓮社佛教普光學校 BUDDHIST PO KWONG SCHOOL,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051311/%E5%8A%A9%E7%90%86%E5%B0%8F%E5%AD%B8%E5%AD%B8%E4%BD%8D%E6%95%99%E5%B8%AB-APSM
HS26051305,樂器班導師 (2026-27 年度),基督書院 CHRIST COLLEGE,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051305/%E6%A8%82%E5%99%A8%E7%8F%AD%E5%B0%8E%E5%B8%AB-2026-27-%E5%B9%B4%E5%BA%A6-
HS26051304,管樂團 / 管弦樂團指揮 (2026-27 年度),基督書院 CHRIST COLLEGE,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051304/%E7%AE%A1%E6%A8%82%E5%9C%98-%E7%AE%A1%E5%BC%A6%E6%A8%82%E5%9C%98%E6%8C%87%E6%8F%AE-2026-27-%E5%B9%B4%E5%BA%A6-
HS26051303,融合教育輔導員 / 教學助理 (2026 年 8 月中到職),基督書院 CHRIST COLLEGE,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051303/%E8%9E%8D%E5%90%88%E6%95%99%E8%82%B2%E8%BC%94%E5%B0%8E%E5%93%A1-%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86-2026-%E5%B9%B4-8-%E6%9C%88%E4%B8%AD%E5%88%B0%E8%81%B7-
HS26051302,活動教學助理 (2026 年 8 月中到職),基督書院 CHRIST COLLEGE,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051302/%E6%B4%BB%E5%8B%95%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86-2026-%E5%B9%B4-8-%E6%9C%88%E4%B8%AD%E5%88%B0%E8%81%B7-
HS26051301,數理科助理教師 / 教學助理 (2026 年 8 月中到職),基督書院 CHRIST COLLEGE,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051301/%E6%95%B8%E7%90%86%E7%A7%91%E5%8A%A9%E7%90%86%E6%95%99%E5%B8%AB-%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86-2026-%E5%B9%B4-8-%E6%9C%88%E4%B8%AD%E5%88%B0%E8%81%B7-
HS26051298,倫理與宗教科教師 (26/27 學年),香港兆基創意書院 HKICC LEE SHAU KEE SCHOOL OF CREATIVITY,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051298/%E5%80%AB%E7%90%86%E8%88%87%E5%AE%97%E6%95%99%E7%A7%91%E6%95%99%E5%B8%AB-26-27-%E5%AD%B8%E5%B9%B4-
HS26051297,STEAM / 設計與應用科技教師 (26/27 學年),香港兆基創意書院 HKICC LEE SHAU KEE SCHOOL OF CREATIVITY,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051297/STEAM-%E8%A8%AD%E8%A8%88%E8%88%87%E6%87%89%E7%94%A8%E7%A7%91%E6%8A%80%E6%95%99%E5%B8%AB-26-27-%E5%AD%B8%E5%B9%B4-
HS26051296,初中形體與表演科兼職導師 (26/27 學年),香港兆基創意書院 HKICC LEE SHAU KEE SCHOOL OF CREATIVITY,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051296/%E5%88%9D%E4%B8%AD%E5%BD%A2%E9%AB%94%E8%88%87%E8%A1%A8%E6%BC%94%E7%A7%91%E5%85%BC%E8%81%B7%E5%B0%8E%E5%B8%AB-26-27-%E5%AD%B8%E5%B9%B4-
HS26051295,初中中文科兼職教師 (26/27 學年),香港兆基創意書院 HKICC LEE SHAU KEE SCHOOL OF CREATIVITY,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051295/%E5%88%9D%E4%B8%AD%E4%B8%AD%E6%96%87%E7%A7%91%E5%85%BC%E8%81%B7%E6%95%99%E5%B8%AB-26-27-%E5%AD%B8%E5%B9%B4-
HS26051294,創意藝術文憑兼職教師 (人文講座 - 中文) (26/27 學年),香港兆基創意書院 HKICC LEE SHAU KEE SCHOOL OF CREATIVITY,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051294/%E5%89%B5%E6%84%8F%E8%97%9D%E8%A1%93%E6%96%87%E6%86%91%E5%85%BC%E8%81%B7%E6%95%99%E5%B8%AB-%E4%BA%BA%E6%96%87%E8%AC%9B%E5%BA%A7---%E4%B8%AD%E6%96%87-26-27-%E5%AD%B8%E5%B9%B4-
HS26051293,創意藝術文憑兼職教師 (藝術工作室：媒體實驗室 - 電子藝術) (26/27 學年),香港兆基創意書院 HKICC LEE SHAU KEE SCHOOL OF CREATIVITY,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051293/%E5%89%B5%E6%84%8F%E8%97%9D%E8%A1%93%E6%96%87%E6%86%91%E5%85%BC%E8%81%B7%E6%95%99%E5%B8%AB-%E8%97%9D%E8%A1%93%E5%B7%A5%E4%BD%9C%E5%AE%A4-%E5%AA%92%E9%AB%94%E5%AF%A6%E9%A9%97%E5%AE%A4---%E9%9B%BB%E5%AD%90%E8%97%9D%E8%A1%93-26-27-%E5%AD%B8%E5%B9%B4-
HS26051292,創意藝術文憑兼職教師 (藝術工作室：遊戲研究室) (26/27 學年),香港兆基創意書院 HKICC LEE SHAU KEE SCHOOL OF CREATIVITY,2026-06-10,https://jump.mingpao.com/job/detail/Jobs/2/HS26051292/%E5%89%B5%E6%84%8F%E8%97%9D%E8%A1%93%E6%96%87%E6%86%91%E5%85%BC%E8%81%B7%E6%95%99%E5%B8%AB-%E8%97%9D%E8%A1%93%E5%B7%A5%E4%BD%9C%E5%AE%A4-%E9%81%8A%E6%88%B2%E7%A0%94%E7%A9%B6%E5%AE%A4-26-27-%E5%AD%B8%E5%B9%B4-
