"AdID","職位名稱","公司名稱","發布日期","職位詳情連結","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032613","數學科兼科學科教師 (合約) (2026-2027 學年)","麗澤中學 LAI CHACK MIDDLE SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032613/%E6%95%B8%E5%AD%B8%E7%A7%91%E5%85%BC%E7%A7%91%E5%AD%B8%E7%A7%91%E6%95%99%E5%B8%AB-%E5%90%88%E7%B4%84-2026-2027-%E5%AD%B8%E5%B9%B4-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032614","教學助理 / 助理教師 (合約) (2026-2027 學年)","麗澤中學 LAI CHACK MIDDLE SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032614/%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86-%E5%8A%A9%E7%90%86%E6%95%99%E5%B8%AB-%E5%90%88%E7%B4%84-2026-2027-%E5%AD%B8%E5%B9%B4-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032621","助理教師 - 中國語文科 (2026-2027 年度)","青年會書院 CHINESE YMCA COLLEGE","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032621/%E5%8A%A9%E7%90%86%E6%95%99%E5%B8%AB---%E4%B8%AD%E5%9C%8B%E8%AA%9E%E6%96%87%E7%A7%91-2026-2027-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032622","助理教師 - 英國語文科 (2026-2027 年度)","青年會書院 CHINESE YMCA COLLEGE","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032622/%E5%8A%A9%E7%90%86%E6%95%99%E5%B8%AB---%E8%8B%B1%E5%9C%8B%E8%AA%9E%E6%96%87%E7%A7%91-2026-2027-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032623","助理教師 - 視藝科 (2026-2027 年度)","青年會書院 CHINESE YMCA COLLEGE","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032623/%E5%8A%A9%E7%90%86%E6%95%99%E5%B8%AB---%E8%A6%96%E8%97%9D%E7%A7%91-2026-2027-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032624","教學助理 - 學生支援組 (2026-2027 年度)","青年會書院 CHINESE YMCA COLLEGE","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032624/%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86---%E5%AD%B8%E7%94%9F%E6%94%AF%E6%8F%B4%E7%B5%84-2026-2027-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032625","輔導員 - 學生支援組 (2026-2027 年度)","青年會書院 CHINESE YMCA COLLEGE","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032625/%E8%BC%94%E5%B0%8E%E5%93%A1---%E5%AD%B8%E7%94%9F%E6%94%AF%E6%8F%B4%E7%B5%84-2026-2027-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032626","三級實驗室技術員 (2026-2027 年度)","青年會書院 CHINESE YMCA COLLEGE","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032626/%E4%B8%89%E7%B4%9A%E5%AF%A6%E9%A9%97%E5%AE%A4%E6%8A%80%E8%A1%93%E5%93%A1-2026-2027-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032627","行政助理 / 助理行政主任 - 圖書館 (2026-2027 年度)","青年會書院 CHINESE YMCA COLLEGE","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032627/%E8%A1%8C%E6%94%BF%E5%8A%A9%E7%90%86-%E5%8A%A9%E7%90%86%E8%A1%8C%E6%94%BF%E4%B8%BB%E4%BB%BB---%E5%9C%96%E6%9B%B8%E9%A4%A8-2026-2027-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032631","各科科主任或老師 (26/27 年度)","優才書院小學部 G.T. COLLEGE (PRIMARY SECTION) ()","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032631/%E5%90%84%E7%A7%91%E7%A7%91%E4%B8%BB%E4%BB%BB%E6%88%96%E8%80%81%E5%B8%AB-26-27-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032641","駐校社工 School Social Worker (2026/27 年度)","優才書院小學部 G.T. COLLEGE (PRIMARY SECTION) ()","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032641/%E9%A7%90%E6%A0%A1%E7%A4%BE%E5%B7%A5-School-Social-Worker-2026-27-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032651","數學科教師 (常額 / 合約) (2026/2027 年度)","文理書院香港 COGNITIO COLLEGE HONG KONG ()","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032651/%E6%95%B8%E5%AD%B8%E7%A7%91%E6%95%99%E5%B8%AB-%E5%B8%B8%E9%A1%8D-%E5%90%88%E7%B4%84-2026-2027-%E5%B9%B4%E5%BA%A6-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032661","Mathematics Teacher (Regular) (2026-2027)","順利天主教中學 SHUN LEE CATHOLIC SECONDARY SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032661/Mathematics-Teacher-Regular-2026-2027-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032662","Mathematics and Technology and Living Teacher (Regular) (2026-2027)","順利天主教中學 SHUN LEE CATHOLIC SECONDARY SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032662/Mathematics-and-Technology-and-Living-Teacher-Regular-2026-2027-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032663","English Language Teacher (Regular) (2026-2027)","順利天主教中學 SHUN LEE CATHOLIC SECONDARY SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032663/English-Language-Teacher-Regular-2026-2027-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032664","English Language Teacher (Contract) (2026-2027)","順利天主教中學 SHUN LEE CATHOLIC SECONDARY SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032664/English-Language-Teacher-Contract-2026-2027-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HS26032665","Chinese Language Teacher (Contract) (2026-2027)","順利天主教中學 SHUN LEE CATHOLIC SECONDARY SCHOOL","4/29/2026","https://jump.mingpao.com/job/detail/Jobs/2/HS26032665/Chinese-Language-Teacher-Contract-2026-2027-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
